time	est_speed	baro_speed	gps_speed	vel_z_pid_output	vel_z_pid_err	vel_z_I	gps_status	healthy	state	mav_mode
189888	0.0990	0.0327	-0.1599	0.0593	0.1009	0.0791	2	0	0	64
189938	0.1050	0.1760	-0.1599	0.0593	0.1009	0.0791	2	0	0	64
189988	0.1120	0.2424	-0.1000	0.0593	0.1009	0.0791	2	0	0	64
190038	0.1274	0.2325	-0.1000	0.0593	0.1009	0.0791	2	0	0	64
190088	0.1394	0.1390	-0.1000	0.0593	0.1009	0.0791	2	0	0	64
190138	0.1479	0.0869	-0.1000	0.0593	0.1009	0.0791	2	0	0	64
190188	0.1523	-0.0611	-0.1000	0.0593	0.1009	0.0791	2	0	0	64
190238	0.1535	-0.1442	-0.1000	0.0593	0.1009	0.0791	2	1	0	64
190288	0.1536	-0.1841	-0.0199	0.0593	0.1009	0.0791	2	1	0	64
190338	0.1640	-0.2010	-0.0199	0.0593	0.1009	0.0791	2	0	0	64
190388	0.1718	0.0088	-0.0199	0.0593	0.1009	0.0791	2	0	0	64
190438	0.1838	0.1616	-0.0199	0.0593	0.1009	0.0791	2	0	0	64
190488	0.1975	0.1955	-0.0900	0.0593	0.1009	0.0791	2	0	0	64
190538	0.1984	-0.0015	-0.0900	0.0593	0.1009	0.0791	2	0	0	64
190588	0.1946	-0.0988	-0.0900	0.0593	0.1009	0.0791	2	0	0	64
190638	0.1903	-0.1108	-0.0900	0.0593	0.1009	0.0791	2	0	0	64
190688	0.1877	-0.0303	-0.0900	0.0593	0.1009	0.0791	2	0	0	64
190738	0.1883	0.0934	-0.0900	0.0593	0.1009	0.0791	2	0	0	64
190788	0.1919	0.2013	0.0199	0.0593	0.1009	0.0791	2	0	0	64
190838	0.2133	0.3372	0.0199	0.0593	0.1009	0.0791	2	0	0	64
190888	0.2333	0.4006	0.0199	0.0593	0.1009	0.0791	2	0	0	64
190938	0.2473	0.2563	0.0199	0.0593	0.1009	0.0791	2	0	0	64
190988	0.2551	-0.2841	-0.0900	0.0593	0.1009	0.0791	2	0	0	64
191038	0.2371	-0.4785	-0.0900	0.0593	0.1009	0.0791	2	0	0	64
191088	0.2180	-0.4877	-0.0900	0.0593	0.1009	0.0791	2	0	0	64
191138	0.2027	-0.3553	-0.0900	0.0593	0.1009	0.0791	2	0	0	64
191188	0.1927	-0.2759	-0.0900	0.0593	0.1009	0.0791	2	0	0	64
191238	0.1868	-0.1461	-0.0900	0.0593	0.1009	0.0791	2	1	0	64
191288	0.1747	-0.8745	0.1599	0.0593	0.1009	0.0791	2	1	0	64
191338	0.1988	-0.3518	0.1599	0.0593	0.1009	0.0791	2	0	0	64
191388	0.2272	-0.1157	0.1599	0.0593	0.1009	0.0791	2	0	0	64
191438	0.2554	0.0129	0.1599	0.0593	0.1009	0.0791	2	0	0	64
191488	0.2800	0.0379	-0.0199	0.0593	0.1009	0.0791	2	0	0	64
191538	0.2760	0.0499	-0.0199	0.0593	0.1009	0.0791	2	0	0	64
191588	0.2650	-0.0708	-0.0199	0.0593	0.1009	0.0791	2	0	0	64
191638	0.2607	0.0410	-0.0199	0.0593	0.1009	0.0791	2	0	0	64
191688	0.2600	0.1415	-0.0199	0.0593	0.1009	0.0791	2	0	0	64
191738	0.2615	0.1487	-0.0199	0.0593	0.1009	0.0791	2	0	0	64
191788	0.2621	0.1066	0.0500	0.0593	0.1009	0.0791	2	0	0	64
191838	0.2715	-0.0007	0.0500	0.0593	0.1009	0.0791	2	0	0	64
191888	0.2775	-0.0154	0.0500	0.0593	0.1009	0.0791	2	0	0	64
191938	0.2817	-0.0649	0.0500	0.0593	0.1009	0.0791	2	1	0	64
191988	0.2844	-0.0876	-0.1700	0.0593	0.1009	0.0791	2	1	0	64
192038	0.2539	-0.2251	-0.1700	0.0593	0.1009	0.0791	2	0	0	64
192088	0.2258	-0.2914	-0.1700	0.0593	0.1009	0.0791	2	0	0	64
192138	0.2013	-0.3201	-0.1700	0.0593	0.1009	0.0791	2	0	0	64
192188	0.1859	0.0509	-0.1700	0.0593	0.1009	0.0791	2	0	0	64
192238	0.1764	0.0765	-0.1700	0.0593	0.1009	0.0791	2	0	0	64
192288	0.1705	0.0886	-0.1100	0.0593	0.1009	0.0791	2	0	0	64
192338	0.1768	0.1350	-0.1100	0.0593	0.1009	0.0791	2	0	0	64
192388	0.1878	0.1536	-0.1100	0.0593	0.1009	0.0791	2	0	0	64
192438	0.1807	-0.0884	-0.1100	0.0593	0.1009	0.0791	2	0	0	64
192488	0.1296	-0.2147	0.0299	0.0593	0.1009	0.0791	2	0	0	64
192538	0.1133	-0.1496	0.0299	0.0593	0.1009	0.0791	2	0	0	64
192588	0.0944	0.0514	0.0299	0.0593	0.1009	0.0791	2	0	0	64
192638	0.0443	0.1598	0.0299	0.0593	0.1009	0.0791	2	0	0	64
192688	-0.0526	0.1286	0.0299	0.0593	0.1009	0.0791	2	0	0	64
192738	-0.1454	0.0674	0.0299	0.0593	0.1009	0.0791	2	0	0	64
192788	-0.2006	0.0774	-0.4199	0.0593	0.1009	0.0791	2	0	0	64
192838	-0.2999	0.0777	-0.4199	0.0593	0.1009	0.0791	2	1	0	64
192888	-0.3871	-0.1765	-0.4199	0.0593	0.1009	0.0791	2	1	0	64
192938	-0.4564	-0.3809	-0.4199	0.0593	0.1009	0.0791	2	1	0	64
192988	-0.5091	-0.6136	-1.3400	0.0593	0.1009	0.0791	2	1	0	64
193038	-0.6762	-0.8477	-1.3400	0.0593	0.1009	0.0791	2	1	0	64
193088	-0.7939	-0.8246	-1.3400	0.0593	0.1009	0.0791	2	1	0	64
193138	-0.8547	-0.7942	-1.3400	0.0593	0.1009	0.0791	2	1	0	64
193188	-0.8526	-0.6238	-1.3400	0.0593	0.1009	0.0791	2	1	0	64
193238	-0.8010	-0.5306	-1.3400	0.0593	0.1009	0.0791	2	1	0	64
193288	-0.7165	-0.7224	-1.6100	0.0593	0.1009	0.0791	2	1	0	64
193338	-0.6562	-0.8063	-1.6100	0.0593	0.1009	0.0791	2	1	0	64
193388	-0.5930	-0.8217	-1.6100	0.0593	0.1009	0.0791	2	1	0	64
193438	-0.5423	-0.9290	-1.6100	0.0593	0.1009	0.0791	2	1	0	64
193488	-0.5114	-0.7534	-0.6399	0.0593	0.1009	0.0791	2	1	0	64
193538	-0.3630	-0.7713	-0.6399	0.0593	0.1009	0.0791	2	1	0	64
193588	-0.2422	-0.7445	-0.6399	0.0593	0.1009	0.0791	2	1	0	64
193638	-0.1677	-0.7315	-0.6399	0.0593	0.1009	0.0791	2	1	0	64
193688	-0.1283	-0.6661	-0.6399	0.0593	0.1009	0.0791	2	1	0	64
193738	-0.1120	-0.6100	-0.6399	0.0593	0.1009	0.0791	2	1	0	64
193788	-0.1063	-0.5735	-0.1000	0.0593	0.1009	0.0791	2	1	0	64
193838	-0.0344	-0.6678	-0.1000	0.0593	0.1009	0.0791	2	1	0	64
193888	0.0089	-0.4496	-0.1000	0.0593	0.1009	0.0791	2	1	0	64
193938	0.0383	-0.4098	-0.1000	0.0593	0.1009	0.0791	2	1	0	64
193988	0.0658	-0.4341	-0.0399	0.0593	0.1009	0.0791	2	1	0	64
